swc_name,dangling_branch,root_node_jump,z_jumps,narrow_start,fat_ends,has_all_nonzero_segment_lengths,narrow_neurite_section,single_child,multifurcation,number_of_dendritic_trees_steaming_from_the_soma,number_of_axons,max_branch_order,total_section_length,max_section_length
pre_18469_00086,0,8,20,0,11,0,0,0,0,8,1,45,1004578.167,26333.02734
17545_00008,0,8,0,0,0,0,0,0,0,8,0,23,47556.74261,5951.969727
18458_00277,0,8,0,0,0,0,0,0,0,7,1,44,76495.87672,7426.277344
17302_00078,0,7,0,0,0,0,0,0,0,7,1,27,73770.52973,6988.665527
17302_00080,0,7,0,0,0,0,0,0,0,7,0,53,136623.7565,3614.944824
17302_00116,0,7,0,0,0,0,0,0,0,7,0,59,61416.03891,4730.204102
17545_00026,0,7,0,0,0,0,0,0,0,9,0,34,112783.7254,1331.334717
17545_00144,0,7,0,0,0,0,0,0,0,6,1,20,77451.41224,3590.49585
18464_00192,0,7,0,0,0,0,0,0,0,7,0,50,194282.9959,15162.98438
17302_00076,0,6,0,0,0,0,0,0,0,7,1,20,63925.69797,7512.461426
17545_00006,0,6,0,0,0,0,0,0,0,5,1,17,27670.33022,4322.149902
17545_00030,0,6,0,0,0,0,0,0,0,5,1,23,89312.57389,2868.968994
17545_00068,0,6,0,0,0,0,0,0,0,5,1,21,62431.44872,2282.840332
17545_00088,0,6,0,0,0,0,0,0,0,5,1,16,107711.3345,9554.902344
17545_00124,0,6,0,0,0,0,0,0,0,5,1,22,34330.63925,2747.506836
18454_00071,0,6,0,0,0,0,0,0,0,9,0,24,97940.24744,7477.560059
17545_00082,0,5,0,0,0,0,0,0,0,8,1,24,112687.7992,5429.050293
17545_00093,0,5,0,0,0,0,0,0,0,7,1,17,80083.52897,16298.20605
17545_00158,0,5,0,0,0,0,0,0,0,4,1,31,80657.65999,1603.722534
236174_3829_x14826_y27255,0,5,0,0,0,0,0,0,0,5,0,24,400015.2708,5748.759277
